id,user,uid,version,changeset,timestamp
28054578,nivram117,3529033,8,86828313,2020-06-18T13:34:50Z
28054579,quicky,99151,8,10930740,2012-03-10T11:52:05Z
28054580,fk13,3152918,10,88910966,2020-08-04T06:58:13Z
28054583,fk13,3152918,5,88910966,2020-08-04T06:58:14Z
28054585,cabinetcourbi,6231864,7,69285885,2019-04-16T20:12:53Z
28054586,cabinetcourbi,6231864,10,69287693,2019-04-16T21:22:30Z
28054588,cabinetcourbi,6231864,11,69287693,2019-04-16T21:22:30Z
28054589,krysst,16038,3,3128980,2009-11-16T03:10:42Z
28054591,nivram117,3529033,7,86828313,2020-06-18T13:34:50Z
28054598,A FRISETTI,4023601,10,42187967,2016-09-15T21:05:13Z
28054600,Marcel Herault,860575,4,17573562,2013-08-29T15:04:01Z
28054602,Marcel Herault,860575,3,33599421,2015-08-26T15:38:21Z
28055714,Jean François Vole,9451247,9,69280171,2019-04-16T17:24:27Z
28055718,JLZIMMERMANN,188930,13,68804125,2019-04-02T17:23:34Z
28055719,tabltrai,133254,5,3762721,2010-01-31T20:12:20Z
28055720,tabltrai,133254,5,3762721,2010-01-31T20:12:20Z
28055721,quicky,99151,7,10930740,2012-03-10T11:52:04Z
28055722,bagnolais,1943820,5,59971270,2018-06-19T09:28:05Z
28055723,nivram117,3529033,10,85984199,2020-05-30T14:51:03Z
28055724,cabinetcourbi,6231864,7,69294990,2019-04-17T05:28:07Z
28055726,AmannB,667473,5,11408865,2012-04-24T19:55:22Z
28055727,cabinetcourbi,6231864,8,69294990,2019-04-17T05:28:07Z
28055728,cabinetcourbi,6231864,10,69287543,2019-04-16T21:16:26Z
28055731,nivram117,3529033,10,85434814,2020-05-19T10:28:16Z
28055732,Stephixus,318501,8,51101821,2017-08-14T07:57:48Z
28055735,Stephixus,318501,4,51102914,2017-08-14T08:37:11Z
28055736,Stephixus,318501,7,51102914,2017-08-14T08:37:11Z
28055737,RealJey,2199050,6,24336737,2014-07-24T19:41:25Z
28055739,krysst,16038,2,3128980,2009-11-16T03:10:51Z
28055741,RealJey,2199050,3,24336737,2014-07-24T19:41:25Z
28055746,JLZIMMERMANN,188930,4,68804125,2019-04-02T17:23:34Z
28055747,quicky,99151,4,10930740,2012-03-10T11:52:03Z
28055750,Globeur,6540509,5,58269348,2018-04-20T16:33:07Z
28055751,JLZIMMERMANN,188930,4,58889544,2018-05-11T20:58:44Z
28055752,krysst,16038,2,3128980,2009-11-16T03:17:41Z
28055993,krysst,16038,3,4143871,2010-03-16T14:51:21Z
28055994,Jepau,309210,5,19571453,2013-12-21T19:26:42Z
28055996,Globeur,6540509,7,58390820,2018-04-24T22:18:53Z
28055997,LePetitTim,4641577,8,58965426,2018-05-14T21:13:03Z
28055998,Stephixus,318501,5,46100163,2017-02-15T08:44:09Z
28055999,Stephixus,318501,5,46100163,2017-02-15T08:44:09Z
28056002,F5ZV,4189749,8,92044464,2020-10-06T11:13:25Z
28056003,Jepau,309210,6,19571453,2013-12-21T19:26:42Z
28056004,krysst,16038,3,3128980,2009-11-16T03:16:01Z
28056005,joedal-osm,420883,4,12488958,2012-07-25T16:22:09Z
28056006,joedal-osm,420883,5,12488958,2012-07-25T16:22:08Z
28056007,krysst,16038,3,3128980,2009-11-16T03:16:02Z
28056010,krysst,16038,5,13420061,2012-10-08T22:56:11Z
28056150,Stephixus,318501,10,49078610,2017-05-29T16:40:04Z
28056152,krysst,16038,2,3128980,2009-11-16T03:16:00Z
28056154,krysst,16038,2,3128980,2009-11-16T03:16:00Z
28056156,krysst,16038,2,3128980,2009-11-16T03:16:00Z
28056250,krysst,16038,5,13420061,2012-10-08T22:59:53Z
28056252,krysst,16038,4,13420061,2012-10-08T22:59:53Z
28056254,krysst,16038,2,3128980,2009-11-16T03:15:56Z
28056258,krysst,16038,2,3128980,2009-11-16T03:15:59Z
28056263,krysst,16038,4,13420061,2012-10-08T22:54:11Z
28056265,krysst,16038,2,3128980,2009-11-16T03:15:59Z
28056427,RealJey,2199050,6,26176778,2014-10-18T19:13:37Z
28056430,F5ZV,4189749,5,92045256,2020-10-06T11:23:31Z
28056432,nivram117,3529033,13,41757108,2016-08-28T14:35:31Z
28056435,fk13,3152918,14,56569395,2018-02-22T05:58:56Z
28056438,nivram117,3529033,12,85435568,2020-05-19T10:40:10Z
28056440,F5ZV,4189749,7,92045256,2020-10-06T11:23:31Z
28056443,quicky,99151,3,10930740,2012-03-10T11:52:01Z
28056444,cabinetcourbi,6231864,5,69294743,2019-04-17T05:11:12Z
28056447,quicky,99151,3,10930740,2012-03-10T11:52:01Z
28056993,F5ZV,4189749,7,92044962,2020-10-06T11:19:37Z
28056999,Jepau,309210,7,18151827,2013-10-02T21:27:57Z
28057001,joedal-osm,420883,8,12705987,2012-08-12T19:40:15Z
28057003,Pa413,688484,5,68980278,2019-04-07T16:34:57Z
28057007,Patchi,591881,11,13093252,2012-09-13T14:08:39Z
28057009,Jepau,309210,4,18151827,2013-10-02T21:27:57Z
28057011,Jepau,309210,3,18151827,2013-10-02T21:27:57Z
28057014,bagnolais,1943820,7,59971270,2018-06-19T09:28:05Z
28057016,RealJey,2199050,4,26167540,2014-10-18T10:28:27Z
28057018,RealJey,2199050,10,26167540,2014-10-18T10:28:27Z
28057113,nivram117,3529033,10,85984199,2020-05-30T14:51:03Z
28057115,tabltrai,133254,4,3762721,2010-01-31T20:12:20Z
28057118,bagnolais,1943820,4,59971270,2018-06-19T09:28:05Z
28057119,tabltrai,133254,4,3762721,2010-01-31T20:12:20Z
28057121,AmannB,667473,4,11408865,2012-04-24T19:55:23Z
28057141,Patchi,591881,8,13093252,2012-09-13T14:08:38Z
28057142,quicky,99151,8,10930740,2012-03-10T11:51:48Z
28057146,tabltrai,133254,6,3762721,2010-01-31T20:12:39Z
28057150,Patchi,591881,6,13093252,2012-09-13T14:40:11Z
